Tree	x	y	dbh	species	height
697	94.703	11.205	43	5	0
698	97.1915	13.0607	29.4	18	0
699	97.9874	10.0372	28.5	18	0
700	94.6068	5.9304	31	18	0
701	93.9948	5.1611	11	18	0
702	92.2595	6.1029	23.4	18	0
703	91.5659	6.764	6.1	17	0
704	93.9213	2.4836	27.1	18	0
705	86.8515	8.8195	29.3	22	0
706	85.2167	9.4977	8.6	2	0
707	82.577	8.7914	23.1	18	0
708	84.8257	6.1507	17	2	0
709	85.2835	3.0068	46	6	0
710	84.7635	0.7599	7.6	2	0
711	85.1526	1.173	5.3	2	0
712	78.5857	0.0701	30	8	0
713	79.0983	4.1451	5	16	0
714	77.6982	5.8664	41	11	0
715	77.4115	5.1273	14	16	0
716	76.2843	3.3232	31.5	2	0
717	76.5212	3.7725	5.6	16	0
718	73.3722	2.6141	34.5	5	0
719	73.2677	5.1781	5.7	16	0
720	68.9885	3.3964	40.6	16	0
721	69.6466	2.4173	5.5	16	0
