Number	x	y	dbh	species	ht
321	80.4323	67.7361	19.4 	30	14.9 
322	86.7916	62.7287	23.0 	30	18.4 
323	89.7293	69.3194	32.2 	30	20.0 
324	100.7672	65.2205	32.8 	30	18.9 
325	123.1398	51.499	32.0 	30	16.6 
326	127.7282	60.5661	25.7 	30	14.3 
327	129.5456	59.757	16.5 	30	9.5 
328	138.0394	50.4641	28.0 	30	15.5 
329	113.1146	3.2683	5.7 	31	5.5 
330	123.0468	8.7522	26.7 	31	19.8 
331	122.4785	24.674	11.8 	31	10.4 
332	118.2748	12.7426	12.9 	31	10.7 
333	106.9307	11.3113	25.8 	31	18.0 
334	113.7255	30.2309	8.5 	31	10.9 
335	117.7996	43.1321	6.2 	31	8.9 
336	111.8862	52.6385	13.0 	31	11.5 
337	70.3733	16.1386	5.8 	32	7.0 
338	86.5085	13.3326	9.2 	32	11.2 
339	84.2792	15.6694	16.9 	32	14.8 
340	87.6962	17.4351	6.2 	32	8.2 
341	81.2913	18.7319	8.0 	32	11.6 
342	117.2873	0.855	9.7 	32	9.4 
343	116.7205	4.156	5.0 	32	6.9 
344	123.6469	8.9642	29.2 	32	19.3 
345	138.6799	5.7218	25.0 	32	18.6 
346	138.3294	6.1632	9.0 	32	9.3 
347	138.6509	6.2247	10.2 	32	11.0 
348	138.0184	6.4896	5.7 	32	7.4 
349	124.1431	18.9117	26.1 	32	12.9 
350	123.0687	18.4425	7.9 	32	10.0 
351	122.9875	18.9836	21.3 	32	12.5 
352	122.8325	19.1258	22.0 	32	14.7 
353	114.5397	7.9875	8.5 	32	7.8 
354	114.1153	9.3266	6.1 	32	6.1 
355	113.5478	8.0725	32.2 	32	19.9 
356	113.1648	8.4534	21.1 	32	16.4 
357	95.7392	6.3397	18.0 	32	16.0 
358	92.373	8.7761	16.8 	32	13.2 
359	87.9416	9.8366	6.2 	32	8.5 
360	89.0707	11.0321	7.8 	32	10.5 
361	95.1267	11.2436	5.0 	32	6.8 
362	91.6409	19.1218	6.4 	32	8.0 
363	91.6707	19.0802	5.5 	32	6.9 
364	86.0509	22.2426	6.3 	32	6.1 
365	88.5321	23.3434	11.0 	32	11.5 
366	92.0301	24.2084	5.7 	32	5.8 
367	91.9751	24.3402	5.0 	32	6.7 
368	112.3552	26.4344	5.0 	32	7.6 
369	112.1676	24.1742	7.0 	32	7.6 
370	113.6788	25.1934	5.9 	32	7.6 
371	124.7336	33.5675	27.1 	32	16.0 
372	124.9201	33.4477	19.6 	32	14.6 
373	125.0599	33.1963	26.0 	32	13.7 
374	126.3821	33.1215	6.0 	32	8.4 
375	130.568	51.4078	22.2 	32	14.2 
376	130.9357	51.6615	5.7 	32	8.4 
377	129.3835	52.3326	16.9 	32	15.8 
378	129.0567	42.7329	9.2 	32	11.1 
379	128.6884	42.5656	15.2 	32	18.1 
380	128.9021	42.287	30.2 	32	18.1 
381	129.0729	42.1564	13.6 	32	13.6 
382	129.1768	42.1231	7.4 	32	7.0 
383	125.8581	37.2946	8.7 	32	11.4 
384	122.0184	37.5655	19.8 	32	15.7 
385	114.3874	38.269	7.7 	32	10.4 
386	115.4284	39.3761	16.0 	32	14.7 
387	114.6146	45.3992	16.5 	32	15.1 
388	84.5479	34.3887	13.4 	32	13.9 
389	92.2227	34.0922	15.6 	32	12.4 
390	94.3466	27.9037	6.5 	32	9.0 
391	94.5354	30.1225	7.7 	32	9.6 
392	70.8503	42.0627	5.0 	32	5.6 
393	77.2056	54.1865	5.7 	32	7.2 
394	76.8452	54.539	9.1 	32	10.4 
395	76.7934	54.5223	18.3 	32	15.6 
396	76.671	54.9272	19.9 	32	14.8 
397	77.036	55.2976	6.6 	32	8.9 
398	82.1452	58.7449	27.2 	32	12.8 
399	95.8255	45.3229	5.7 	32	6.7 
400	95.8421	45.3376	8.3 	32	8.4 
401	104.0655	44.4971	12.9 	32	9.6 
402	112.3885	47.8537	8.3 	32	10.1 
403	111.1188	54.1324	28.8 	32	17.0 
404	111.2164	53.8937	23.4 	32	15.6 
405	109.0819	54.777	19.5 	32	17.6 
406	118.2683	51.3473	19.0 	32	14.5 
407	120.5373	50.0112	23.7 	32	17.6 
408	108.4604	29.4294	5.5 	33	6.6 
409	108.6735	28.1515	25.9 	33	18.4 
410	106.4341	57.7185	16.1 	33	15.0 
411	106.4302	57.719	8.6 	33	11.5 
412	106.219	48.2962	11.8 	34	17.0 
413	72.7847	69.9811	26.8 	35	14.7 
