treeno,species,x,y,dbh,ht,cw,,check
431,10,16.887,28.735,1.8,2.6,12.5,,
432,10,15.401,28.436,2.7,3.4,12.5,,
433,12,16.529,28.545,22.9,14.1,20.5,,
434,9,18.672,29.243,10.1,9.6,16.9,,
435,9,18.763,27.541,3.8,4.8,13.7,,
436,10,17.356,27.733,3.3,3.9,13.1,,
437,8,16.991,26.517,23.2,17.4,21,,
438,9,15.037,26.429,1.5,2.2,11.3,,
439,10,15,26.311,2.2,2.9,11.6,,
440,10,16.341,25.975,2.2,2.9,11.9,,
441,9,15.513,25.309,1.4,2.1,11.1,,
442,9,15.337,26.241,1.4,2.1,11.3,,
443,9,14.919,25.356,1,1.6,10.7,,
444,9,14.811,25.225,4.1,5.1,12.3,,
445,9,14.693,25.306,6,6.8,13.2,,
446,9,14.31,23.98,4.8,5.8,12.2,,
447,9,14.438,20.268,8.3,8.5,12.9,,
448,10,16.668,22.141,1.3,2.1,10.6,,
449,6,19.8,22.356,19.6,16.2,19.5,,
450,9,22.246,24.754,6.8,7.4,15.3,,
451,10,25.086,21.998,1.7,2.5,12.8,,
452,10,26.21,24.531,1.2,2,13.5,,
453,10,24.972,21.56,1,1.9,12.3,,
454,10,23.637,27.222,1,1.9,13.4,,
455,10,24.774,25.641,2,2.8,13.8,,
456,10,21.155,26.38,1.8,2.6,13,,
457,10,21.73,27.793,1.6,2.4,13.4,,
458,12,25.356,28.46,10,9.3,18.3,,
459,12,30.245,27.575,32.5,16,26.6,,
460,10,33.527,20.32,3.7,4.2,15.4,,
461,10,34.719,28.828,2.8,3.5,17.5,,
462,10,35.653,28.375,3.2,3.8,17.8,,
463,10,37.758,28.373,4,4.5,18.7,,
464,10,32.382,22.638,1.8,2.6,14.9,,
465,10,34.786,22.438,3,3.6,16,,
466,10,34.837,22.032,5.1,5.4,16.8,,
467,4,35.842,20,30.8,19.4,26.5,,
468,10,43.276,20.937,3.8,4.3,18.1,,
469,8,40.605,27.533,3.2,4.6,19,,
470,8,43.364,27.39,4.8,6.6,20.5,,
471,8,44.478,26.035,2.7,4,19.3,,
472,8,45.083,26.165,7.5,9.2,22,,
473,10,45.364,27.43,4.8,5.1,20.7,,
474,9,52.326,24.47,9.3,9.1,23.8,,
475,9,58.793,22.871,13.1,11.1,26.5,,
476,9,58.782,23.144,8.5,8.6,24.8,,
477,13,61.334,26.972,18.6,15.8,30.7,,
478,13,64.045,27.256,43.3,21.5,39,,
479,10,65.154,29.436,2.5,3.2,25.1,,
480,12,64.963,29.519,4,4.8,25.8,,
481,3,63.977,29.841,4.3,5.3,25.9,,
482,10,66.765,29.043,1.5,2.3,24.9,,
483,6,67.2,29.194,3.2,4.6,26.1,,
484,6,67.534,29.01,2.1,3.1,25.4,,
485,10,67.384,27.114,3.8,4.3,25.7,,
486,12,69.373,24.044,3.8,4.6,25.5,,
487,13,69.384,23.649,3.3,4.8,25.3,,
488,2,68.253,23.144,4.6,5,25.2,,
489,9,66.356,23.933,6.6,7.3,26,,
490,9,66.427,22.52,3.8,4.8,24.4,,
491,10,67.813,22.111,1.8,2.6,23.6,,
492,10,66.883,20.665,4,4.5,24,,
493,6,68.927,22.394,2.8,4.1,24.6,,
494,10,68.936,22.569,1.4,2.2,23.8,,
495,10,69.288,20.991,3.1,3.7,24.3,,
496,2,70,20,7.5,7.2,26.2,,
497,2,70.327,20.279,3.1,3.7,24.4,,
498,2,70.479,20.949,5.2,5.4,25.5,,
499,10,71.61,21.18,1.9,2.7,24.3,,
500,7,70,22.14,4.5,6.2,25.7,,
501,7,70.388,22.24,4.8,6.6,26,,
502,2,73.257,20.341,7.3,7,27,,
503,2,73.447,20.341,7.1,6.9,26.9,,
504,10,74.986,20.309,3.3,3.9,25.6,,
505,2,71.815,25.761,15.7,12.3,31.4,,
506,3,73.314,27.751,3.4,4.4,27.2,,
507,3,72.251,28.234,4.1,5.1,27.4,,
508,12,72.95,29.425,29,15.4,36.7,,
509,10,73.836,29.453,5.6,5.8,28.7,,
510,10,74.01,29.725,4.8,5.1,28.4,,
511,10,74.899,28.562,4.8,5.1,28.3,,
512,10,75.163,29.276,5,5.3,28.7,,
513,6,75.515,29.546,2.2,3.2,27.6,,
514,10,75.753,29.821,2.8,3.5,28,,
515,2,75.703,30,1.8,2.6,27.5,,
516,10,75.316,30.782,1.3,2.1,27.4,,
517,10,77.086,29.641,6.5,6.4,29.9,,
518,9,79.621,28.756,2.4,3.3,28.5,,
519,10,78.926,28.693,4.2,4.6,29.1,,
520,2,74.928,27.856,1.1,2,26.5,,
521,10,75.069,25.727,5,5.3,27.8,,
522,10,76.462,25.836,7.5,7.2,29.2,,
523,10,77.937,24.986,3.5,4.1,27.6,,
524,12,79.712,23.629,18,12.7,33.5,,
525,10,77.419,24.223,3.6,4.2,27.3,,
526,2,76.935,24.343,2.3,3,26.7,,
527,2,77.599,24.647,1.8,2.6,26.7,,
528,10,76.167,24.568,4.8,5.1,27.7,,
529,13,76.119,24.585,9.4,10.8,30.2,,
530,10,76.179,23.137,3.1,3.7,26.5,,
531,12,76.196,21.901,10.9,9.8,29.7,,
532,10,78.561,22.496,2,2.8,26.5,,
533,10,78.449,21.525,2.5,3.2,26.4,,
534,2,79.411,21.562,4.5,4.9,27.6,,
535,2,79.487,21.472,4.7,5.1,27.7,,
536,10,70,22.274,1.6,2.4,24.1,,
537,12,80.46,21.277,38,16.8,39.1,,
538,10,82.787,21.034,4.6,5,28.3,,
539,10,82.572,23.44,1.4,2.2,27.4,,
540,10,83.22,23.261,1.8,2.6,27.7,,
541,10,84.21,21.968,2.6,3.3,28,,
542,10,84.612,22.435,1.2,2,27.6,,
543,10,82.656,25.884,2.4,3.1,28.5,,
544,2,82.362,26.348,1.8,2.6,28.3,,
545,9,85.066,25.952,5.8,6.6,30.9,,
546,10,85.412,27.134,2.2,2.9,29.4,,
547,10,84.524,27.538,1.8,2.6,29.1,,
548,10,83.099,27.567,2.8,3.5,29.2,,
