Tree	x	y	dbh	species	height
459	92.6266	77.782	13.5	14	0
460	92.8293	77.8249	9.8	14	0
461	85.5695	77.3622	10.5	14	0
462	85.8132	57.5858	6.7	14	0
463	85.8935	57.491	5.8	14	0
464	92.8818	46.4821	5.9	14	0
465	90.8256	25.6701	18.1	14	0
466	95.4827	10.4657	16.4	14	0
467	89.1812	9.6266	13.7	14	0
468	79.4482	54.6323	6	14	0
469	85.2326	63.6865	6.4	14	0
470	77.3516	82.3392	6.7	14	0
471	77.4427	82.1565	8.8	14	0
472	76.6675	53.0131	39.1	14	0
473	76.1408	49.9978	21.8	14	0
474	74.0294	46.8232	14.3	14	0
475	75.7896	16.9513	5.5	14	0
476	77.8827	9.662	11.6	14	0
477	75.7753	5.6217	45.15	14	0
478	73.1001	13.1906	7.9	14	0
479	70.5651	20.6547	6.2	14	0
480	64.8657	38.7159	6	14	0
481	65.5232	46.0511	6.2	14	0
482	65.3283	46.3329	6.1	14	0
483	66.6894	48.3844	37.5	14	0
484	66.7005	61.3209	45.1	14	0
485	69.5882	60.7922	31.8	14	0
486	73.0782	60.0618	5.8	14	0
487	65.25	73.8	5.7	14	0
488	63.5191	75.0348	8.3	14	0
489	65.4877	78.0475	7.5	14	0
490	71.4633	90.9983	6.9	14	0
491	56.7194	77.1986	8.8	14	0
492	54.3385	78.5209	26.3	14	0
493	60.3493	70.4337	6.3	14	0
494	62.8958	56.979	17.2	14	0
495	57.9138	44.8569	30.3	14	0
496	63.5183	1.765	44.6	14	0
497	60.6322	12.9652	24.9	14	0
498	51.3966	44.9986	30	14	0
499	48.8133	54.1723	7.5	14	0
500	46.3812	52.0267	19.65	14	0
501	43.859	68.8316	7.3	14	0
502	50.2371	69.353	28.3	14	0
503	42.4647	51.1007	7.7	14	0
504	36.4104	51.2353	39.8	14	0
505	51.2039	22.1325	32.8	14	0
506	48.7472	11.3158	12.3	14	0
507	47.7623	9.7726	6.7	14	0
508	47.8256	9.6617	7.2	14	0
509	45.9164	23.0792	5.7	14	0
510	46.2655	29.613	17.2	14	0
511	45.6409	36.398	5.6	14	0
512	41.4417	34.973	7.7	14	0
513	39.143	39.1809	44.4	14	0
514	31.5118	55.8138	36.5	14	0
515	24.9609	69.7576	9.2	14	0
516	24.7311	67.5672	5.7	14	0
517	23.5661	68.6372	9.9	14	0
518	22.2989	67.7182	9.5	14	0
519	25.6079	65.5902	7.2	14	0
520	23.3486	64.1437	6.6	14	0
521	23.7573	61.8809	10.3	14	0
522	31.3767	64.939	15.1	14	0
523	29.3688	67.1539	11.4	14	0
524	31.8423	33.0986	12.9	14	0
525	34.7253	23.3574	12	14	0
526	37.5383	35.7377	11	14	0
527	31.2842	18.3742	9	14	0
528	30.8139	9.9352	30.5	14	0
529	26.451	12.4654	7.4	14	0
530	26.1391	7.6473	7.2	14	0
531	20.2449	6.4839	36.7	14	0
532	26.3758	23.018	18.6	14	0
533	27.6228	26.6172	8.2	14	0
534	23.4621	30.7861	10.2	14	0
535	17.0787	50.8831	41.9	14	0
536	14.6979	67.2251	11.2	14	0
537	15.6559	34.6966	15.1	14	0
538	20.2523	28.9043	7.9	14	0
539	13.6385	26.538	6	14	0
540	10.9505	34.4154	7	14	0
541	8.926	34.6439	32.8	14	0
542	6.373	30.6056	7.1	14	0
543	2.8639	30.7208	10.1	14	0
544	2.145	28.3431	7.7	14	0
545	5.9621	25.0707	11.1	14	0
546	0.9952	20.5071	13.5	14	0
547	0.8202	19.1037	6.4	14	0
548	10.3502	9.239	37.5	14	0
549	12.8068	4.5702	6.2	14	0
550	14.2025	1.0627	24.3	14	0
551	16.0735	0.3781	23.7	14	0
552	3.3782	6.7633	17.5	14	0
553	49.6275	70.5551	5.1	14	0
554	55.2047	70.6426	5.1	14	0
555	56.7983	75.0941	5.3	14	0
556	84.3867	75.7788	5.9	14	0
557	95.5304	44.1796	5	14	0
558	79.0549	96.5643	30.8	14	0
559	72.2954	98.6422	6.1	14	0
560	68.616	92.9315	12.8	14	0
561	68.453	92.7154	7.8	14	0
562	61.3445	96.7002	38.6	14	0
563	55.7544	94.4203	5.9	14	0
564	44.9699	89.223	32.5	14	0
565	30.9636	80.7177	8.3	14	0
566	25.1601	79.4376	8.3	14	0
567	18.2722	85.2427	7.1	14	0
568	27.9195	88.5618	33.4	14	0
569	36.8686	92.7755	5.1	14	0
570	40.0974	91.8915	25	14	0
571	49.7629	45.7782	7.4	14	0
572	29.8638	66.8452	5.3	14	0
573	30.8466	18.4003	5.5	14	0
574	56.9257	99.832	15.3	14	0
575	56.3835	99.2052	18.3	14	0
576	26.1804	94.0176	6.2	14	0
577	22.8047	96.5039	30.6	14	0
578	17.0701	99.5105	29.3	14	0
579	11.0657	95.001	5.9	14	0
580	1.4747	65.6414	37.4	14	0
581	46.0392	71.2786	7.1	14	0
582	94.7132	58.2805	25.8	15	0
583	98.1531	70.2828	31.2	15	0
584	96.4234	71.1541	25.2	15	0
585	99.083	88.3199	42.4	15	0
586	97.5424	41.4235	5.5	15	0
587	81.2763	77.2356	24.5	15	0
588	69.6065	62.7192	15.5	15	0
589	59.7904	28.5793	6.8	15	0
590	49.4989	58.7814	15.1	15	0
591	47.3015	68.3957	37.15	15	0
592	45.9598	38.5633	30.4	15	0
593	50.543	9.2174	12.2	15	0
594	47.5659	34.0675	18.7	15	0
595	20.7341	69.3401	20.7	15	0
596	43.6074	15.9078	14.1	15	0
597	25.07	47.8592	14	15	0
598	10.1806	53.4502	38.1	15	0
599	20.59	22.5218	39.1	15	0
600	13.6533	20.5081	21.9	15	0
601	9.6409	0.6238	15	15	0
602	9.5318	0.2701	11	15	0
603	47.5633	74.3896	5.2	15	0
604	12.724	87.0232	30.7	15	0
605	38.0175	93.0282	42	15	0
606	50.3791	40.2601	13.9	15	0
607	42.7232	98.7232	37.2	15	0
608	39.7455	99.4804	41.4	15	0
609	29.5667	97.3901	13.3	15	0
610	96.8821	56.1502	74.4	16	0
