treeno,species,x,y,dbh,ht,cw
253,12,22.692,29.048,19.1,13.1,21
254,12,23.064,29.408,17.2,12.4,20.5
255,12,24.344,29.212,13.7,11.1,19.6
256,2,24.8,28.631,4.2,4.6,15.6
257,2,24.689,25.367,4.5,4.9,14.9
258,13,23.863,23.467,15,14.2,19.1
259,2,25.474,23.154,7.4,7.1,15.8
260,13,21.944,21.393,33.7,20,24.2
261,2,25.318,21.702,4.9,5.2,14.3
262,2,27.459,21.108,1.8,2.6,13.2
263,2,26.689,22.729,9.1,8.3,16.7
264,3,27.321,27.441,19.2,13.5,21.9
265,12,26.577,29.476,17.9,12.7,21.7
266,2,28.144,20.205,7.8,7.4,15.9
267,2,31.852,29.052,3.6,4.2,17.2
268,2,30,26.714,8,7.5,18.1
269,2,31.115,25.005,9.7,8.7,18.6
270,2,31.505,23.47,4.6,5,16.1
271,2,31.743,21.715,8.5,7.9,17.5
272,12,33.927,26.301,32.9,16,27.3
273,12,34.397,26.424,29.7,15.5,26.5
274,9,35.456,25.455,4.8,5.8,17.9
275,12,34,24.72,7.7,7.8,18.6
276,2,35.161,24.773,5,5.3,17.6
277,12,34.627,23.544,20.1,13.4,22.9
278,2,35.906,23.095,11.9,10.1,20.3
279,12,37.818,22.214,6,6.6,18.2
280,12,38.471,20,6.9,7.3,18.2
281,2,38.493,21.67,2.5,3.2,16.5
282,2,38.628,21.535,5.6,5.8,17.9
283,9,39.199,22.539,4.3,5.3,17.8
284,12,38.512,22.765,21.7,13.8,24.2
285,2,37.223,23.07,9.2,8.4,19.5
286,2,39.9,24.883,4.2,4.6,18.4
287,2,39.109,26.6,10.1,9,21.2
288,12,38.165,25.853,17.5,12.5,23.5
289,12,36.766,25.481,9.2,8.8,20.1
290,12,34.931,29.8,5.4,6.1,19.1
291,12,36.782,28.998,18.6,12.9,24.3
292,9,38.645,28.574,4.6,5.6,19.3
293,2,39.065,29.572,5.5,5.7,20
294,2,40.388,28.145,6.7,6.6,20.5
295,12,41.729,29.426,16.3,12.1,24.9
296,2,40.659,27.345,9,8.2,21.3
297,2,41.606,25.004,4.5,4.9,19
298,12,40.815,23.749,11.1,9.9,21.4
299,2,42.112,23.314,8.6,8,20.5
300,2,43.892,26.181,6,6.1,20.5
301,2,43.854,27.62,8.4,7.8,21.9
302,2,44.835,27.729,10.2,9,22.9
303,2,44.343,29.126,9.1,8.3,22.7
304,2,46.912,28.615,7.1,6.9,22.4
305,2,49.563,26.721,8.7,8,23.3
306,12,49.603,25.272,12.7,10.7,24.6
307,2,48.849,24.549,8.9,8.2,22.6
308,12,46.599,25.652,8.8,8.6,22.4
309,2,45.242,26.592,7.2,7,21.5
310,2,47.228,21.74,13.3,10.9,23.3
311,12,49.391,21.602,8.1,8.1,21.8
312,12,50.2,21.179,9.6,9.1,22.5
313,13,50.26,22.317,36.8,20.5,32.5
314,12,50.896,23.054,5.1,5.8,21.2
315,12,50.324,23.679,5.2,5.9,21.3
316,12,51.792,24.029,13.4,11,25
317,2,53.446,23.673,6.4,6.4,22.5
318,12,53.562,21.537,4.8,5.6,21.4
319,12,52.771,25.087,4,4.8,21.7
320,2,52.542,25.574,6.3,6.3,22.7
321,2,51.038,25.465,3.5,4.1,21
322,9,52.312,27.996,5.4,6.3,23
323,12,52.453,28.858,19.1,13.1,28.4
324,12,54.893,26.279,20.5,13.5,28.8
325,2,56.103,26.527,2.5,3.2,22.1
326,9,57.959,24.195,5.4,6.3,23.5
327,9,60,25.826,14.7,11.8,28.1
328,2,57.576,22.068,3.3,3.9,21.7
329,9,57.104,20.859,10.5,9.8,24.6
330,9,60.58,23.121,6.2,6.9,24.2
331,2,62.127,22.079,3.9,4.4,23.1
332,2,63.083,22.876,5.4,5.6,24.2
333,12,64.266,22.427,20.7,13.5,30.2
334,9,65.876,20.862,7.4,7.9,25.5
335,9,65.884,21.262,5.5,6.4,24.8
336,2,67.145,20.761,9.5,8.6,26.5
337,9,67.284,22.799,7.6,8,26.4
