treeno,species,x,y,dbh
804,3,76.468,55.027,5.9
805,3,76.46,55.02,5.3
806,6,79.288,56.711,20.9
807,15,78.705,55.026,11.9
808,7,76.52,51.392,8.7
809,9,75.759,50.612,8.9
810,6,81.524,58.72,13.9
811,2,83.037,57.836,14
812,14,83.761,59.038,19.7
813,14,84.436,58.932,16.3
814,15,84.293,57.549,18
815,10,85.753,54.988,26.2
816,2,89.483,58.504,6.9
817,7,89.713,52.81,9.7
818,11,89.744,51.238,4.5
819,7,92.203,54.611,22.8
820,7,93.991,52.613,16.3
821,7,93.989,52.6,13.5
822,9,94.262,56.241,10.1
823,10,90.626,57.966,20.4
824,14,98.105,52.798,5.2
825,15,96.634,60.01,22
826,9,96.054,60.761,9.1
827,9,95.991,61.764,11.5
828,9,97.432,62.808,10.2
829,3,99.693,64.037,12.4
830,11,97.22,65.212,12.2
831,9,94.026,66.829,14.4
832,2,91.151,68.73,2.7
833,7,90.522,68.845,4.4
834,7,91.912,69.256,5.3
835,9,98.767,69.342,6.3
836,7,89.416,69.997,15
837,3,88.121,69.006,15.4
838,7,88.12,69,17
839,7,89.133,68.129,6.8
840,10,89.581,64.976,6.4
841,2,88.729,64.899,12.7
842,2,89.503,65.28,8.2
843,15,89.543,62.041,27.5
844,3,87.829,62.13,4.8
845,4,83.791,60.978,39
846,4,83.801,60.97,14.4
847,1,82.927,62.266,16.5
848,14,80.434,62.007,13
849,14,80.621,62.006,2.6
850,2,81.347,66.051,8
851,3,87.51,66.738,6.2
852,14,86.089,69.997,6.9
853,9,81.153,68.616,8.5
854,7,78.589,69.535,12.2
855,14,77.94,69.644,3.8
856,10,78.421,67.656,1.6
857,14,78.547,67.063,2.5
858,7,78.863,62.991,16.7
859,14,79.281,62.259,33.4
860,14,78.895,62.36,3.2
861,7,78.88,62.3,19.2
862,7,77.524,62.276,15.5
863,14,77.781,61.515,3
864,7,77.79,60.856,9.1
865,2,76.735,60.215,5
866,7,75.686,62.71,10.2
867,1,73.541,66.927,17
868,1,72.597,67.874,9.9
869,14,71.922,68.629,4.5
870,7,71.598,69.076,16.3
871,7,71.59,69.07,3.9
872,14,74.048,69.997,2.1
873,2,68.328,69.899,12.6
874,1,65.925,69.459,22.8
875,14,66.305,66.871,4.1
876,15,69.444,62.454,39.4
877,14,69.44,62.46,15.5
878,14,67.784,61.424,18.8
879,9,66.408,62.631,16.3
880,7,64.512,61.701,16.3
881,1,61.439,61.61,23.8
882,14,61.441,62.858,7.6
883,15,61.993,63.925,11.1
884,10,61.483,66.02,8.2
885,3,60.185,65.48,5.6
886,3,60.435,65.786,4.8
887,15,60.729,67.174,11.7
888,1,62.656,68.963,25.2
889,7,64.427,67.083,26.8
890,14,64.627,62.263,5
891,7,63.598,67.301,3.6
