Number	x	y	dbh    species	ht
336	64.5112	43.0115	30.4 	28	0
337	4.7252	47.79	21.5 	28	0
338	1.1989	48.691	20.9 	28	0
339	4.0183	51.6913	8.0 	28	0
340	3.8066	54.9726	16.3 	28	0
341	17.5366	60.623	10.5 	28	0
342	23.4208	46.8676	22.7 	28	0
343	66.102	60.5932	35.7 	28	0
344	7.344	13.9398	5.8 	29	0
345	37.7254	29.6454	14.9 	29	0
346	37.8264	29.9702	37.8 	29	0
347	60.5143	63.759	5.4 	29	0
348	21.0018	30.2881	7.0 	30	0
349	3.9395	0.4548	7.3 	31	0
350	4.0441	1.881	6.8 	31	0
351	5.7107	1.0313	13.4 	31	0
352	5.4066	2.3833	6.0 	31	0
353	8.1839	3.5283	12.7 	31	0
354	10.0242	1.0938	5.9 	31	0
355	17.4693	2.6472	5.1 	31	0
356	19.7565	2.9887	7.6 	31	0
357	15.8998	8.6284	7.3 	31	0
358	12.7621	5.9331	6.5 	31	0
359	10.2229	5.4587	14.2 	31	0
360	3.0834	12.8925	5.4 	31	0
361	3.1092	10.2423	11.3 	31	0
362	3.1533	8.8515	6.3 	31	0
363	1.2748	8.3767	12.5 	31	0
364	15.9312	30.9273	5.7 	31	0
365	13.7542	21.0229	5.1 	31	0
366	20.9242	13.6318	5.0 	31	0
367	20.5907	10.3123	9.3 	31	0
368	22.7377	8.1939	5.3 	31	0
369	25.5815	5.0544	5.6 	31	0
370	28.0253	3.5862	16.5 	31	0
371	23.6182	14.8366	9.0 	31	0
372	20.1985	23.5859	7.0 	31	0
373	23.7098	21.4046	10.0 	31	0
374	33.559	22.2067	11.4 	31	0
375	36.459	22.59	11.2 	31	0
376	43.0622	6.7224	6.5 	31	0
377	60.1866	2.3941	12.6 	31	0
378	65.1353	1.466	21.3 	31	0
379	67.7424	4.1708	5.0 	31	0
380	64.844	6.1099	12.7 	31	0
381	58.6239	6.2552	7.0 	31	0
382	48.0748	9.3491	8.0 	31	0
383	37.6395	25.9922	5.6 	31	0
384	45.4774	24.1894	10.8 	31	0
385	53.7873	12.4142	7.9 	31	0
386	54.3032	13.6972	16.2 	31	0
387	59.8826	9.9805	6.4 	31	0
388	61.2197	14.0375	10.2 	31	0
389	62.5425	11.3615	15.3 	31	0
390	68.4008	13.9337	9.8 	31	0
391	67.4696	15.1943	14.5 	31	0
392	67.683	20.1221	5.1 	31	0
393	57.2079	18.4152	7.1 	31	0
394	54.6374	23.8432	5.6 	31	0
395	37.6808	32.5546	10.8 	31	0
396	33.5212	40.361	20.4 	31	0
397	49.7151	44.2187	7.2 	31	0
398	40.2266	43.0722	19.0 	31	0
399	47.5273	56.1291	8.4 	31	0
400	57.1891	30.5713	5.3 	31	0
