Number	x	y	species	dbh	height	CL
93267	256.844	235.097	1	8	8.6 	2.7 
93268	256.746	235.513	1	10.8	13.7 	8.3 
93268.2	256.746	235.513	1	10.8	9.2 	5.5 
93272	240.727	239.588	1	15	10.0 	6.6 
93272.2	240.727	239.588	1	8.5	8.2 	5.1 
93272.3	240.727	239.588	1	13.2	10.4 	5.9 
93290	266.982	221.724	1	10.6	11.0 	6.8 
93292	271.223	220.14	1	11	11.0 	9.8 
93293	273.573	221.421	1	9	11.5 	6.0 
93297	276.899	221.294	1	13	11.6 	4.0 
93299	277.791	220.384	1	13.2	12.0 	7.8 
93300	279.318	221.235	1	11	12.0 	10.0 
93303	277.316	225.802	1	14.8	10.4 	6.3 
93303.2	277.316	225.802	1	10.9	9.3 	5.5 
93303.3	277.316	225.802	1	9.2	8.5 	5.2 
93305	274.418	225.35	1	3.3	6.2 	4.0 
93306	272.465	224.717	1	11.2	10.4 	6.8 
93309	269.952	223.978	1	8.2	11.1 	7.4 
93313	263.797	227.163	1	11.7	9.8 	2.6 
93313.2	263.797	227.163	1	9	8.4 	5.2 
93313.3	263.797	227.163	1	6.8	7.4 	4.8 
93313.4	263.797	227.163	1	9.1	8.4 	5.2 
93313.5	263.797	227.163	1	2.4	5.3 	4.0 
93314	263.243	229.698	1	4.5	5.3 	2.0 
93316	264.841	233.136	1	4.2	7.5 	5.0 
93318	267.026	232.765	1	7.8	8.0 	2.0 
93320	268.533	233.148	1	4.9	9.2 	4.0 
93323	268.093	229.809	1	7.9	7.5 	4.0 
93327	270.204	229.207	1	9.8	9.3 	6.2 
93328	273.276	229.272	1	4.6	6.5 	5.0 
93329	274.024	228.486	1	4.6	6.3 	4.0 
93332	279.62	228.69	1	15.1	11.6 	6.0 
93336	272.223	232.202	1	10.3	10.6 	9.7 
93339	267.521	235.479	1	11.4	9.8 	4.6 
93339.2	267.521	235.479	1	9.5	8.6 	5.3 
93340	268.617	235.843	1	11.6	14.1 	12.6 
93340.2	268.617	235.843	1	9.6	8.7 	5.3 
93345	263.357	236.912	1	10.5	8.6 	6.0 
93356	274.589	238.505	1	11.9	11.4 	5.8 
93356.2	274.589	238.505	1	11	9.3 	5.5 
93359	275.618	236.453	1	14.6	13.0 	10.0 
93362	277.869	234.081	1	12.6	12.0 	8.6 
93363	279.249	234.814	1	8.5	10.0 	3.8 
93366	277.259	239.619	1	11.5	12.6 	7.6 
93371	303.516	225.942	1	6.8	8.0 	6.2 
93385	312.364	226.625	1	6.9	8.2 	6.2 
93394	304.049	230.131	1	11.9	11.6 	2.8 
93396	304.844	230.508	1	6.3	9.6 	5.8 
93401	234.583	239.176	1	9.7	9.5 	8.0 
93402	233.191	239.491	1	5.4	9.3 	7.0 
93403	231.228	240.678	1	9.5	12.0 	6.0 
93406	287.716	222.321	1	8.1	9.6 	9.0 
93412	298.214	224.286	1	8.2	8.6 	7.1 
93412.2	298.214	224.286	1	6.2	7.1 	4.7 
93415	300.15	225.964	1	6.2	8.2 	2.5 
93417	297.391	226.799	1	10.5	11.6 	8.0 
93419	295.385	227.251	1	12.7	12.1 	5.8 
93421	292.957	227.801	1	8.9	11.0 	3.0 
93422	290.49	225.65	1	11.5	12.0 	4.0 
93423	290.063	225.623	1	11.5	12.0 	5.8 
93424	288.411	225.753	1	8.5	11.0 	9.5 
93425	286.597	224.509	1	14.3	12.0 	10.1 
93433	295.362	229.468	1	6.3	9.3 	7.5 
93438	296.25	231.109	1	11	10.5 	8.0 
93440	289.214	231.37	1	16.7	11.3 	8.2 
93441	288.781	232.135	1	11.5	10.5 	7.0 
93444	285.166	231.105	1	11.2	9.7 	5.5 
93448	282.805	235.847	1	21.9	13.4 	6.3 
93452	286.207	234.527	1	9.9	10.2 	8.7 
93452.2	286.207	234.527	1	7.9	7.9 	5.0 
93456	290.946	233.463	1	14	8.9 	7.0 
93458	290.183	235.801	1	15.5	12.6 	8.8 
93460	295.178	234.547	1	19.3	12.6 	7.0 
