Number	x	y	species	dbh	height
3079	47.126	24.329	80	8.3	0
3083	43.003	8.675	80	8.3	0
1745	83.103	23.95	29	8.4	0
1892	46.149	48.99	47	8.4	0
1984	89.289	49.741	56	8.4	0
1988	8.659	42.803	56	8.4	0
2959	39.034	18.289	28	8.4	0
3030	44.145	8.463	70	8.4	0
1815	82.556	16.977	38	8.5	0
1823	54.049	54.126	44	8.5	0
1841	78.01	21.9	44	8.5	0
1987	95.481	42.975	56	8.5	0
2740	6.557	54.23	61	8.5	0
2902	90.08	31.44	28	8.5	0
1779	21.396	50.859	33	8.6	0
1827	85.447	28.559	44	8.6	0
1888	72.604	54.248	47	8.6	0
1929	30.672	26.239	47	8.6	0
1992	81.723	40.634	56	8.6	0
2713	38.714	79.91	61	8.6	0
2754	16.561	36.824	61	8.6	0
2772	66.603	20.582	61	8.6	0
2782	38.59	16.911	61	8.6	0
2786	23.799	14.01	61	8.6	0
2814	75.243	2.956	61	8.6	0
2943	32.58	22.582	28	8.6	0
3032	64.19	18.388	73	8.6	0
2710	25.775	0.222	60	8.7	0
2929	38.461	26.593	28	8.7	0
1701	55.069	15.185	19	8.8	0
1707	56.796	52.191	20	8.8	0
1758	81.514	64.829	32	8.8	0
2763	15.723	28.174	61	8.8	0
2851	73.37	59.611	28	8.8	0
2930	44.133	26.461	28	8.8	0
2942	91.838	22.589	28	8.8	0
2995	73.477	4.745	28	8.8	0
1754	82.186	69.625	32	8.9	0
1834	85.058	27.744	44	8.9	0
1883	43.799	57.018	47	8.9	0
2759	14.339	32.478	61	8.9	0
2801	3.914	9.089	61	8.9	0
2806	59.673	6.025	61	8.9	0
2892	86.052	35.635	28	8.9	0
3020	34.617	38.517	70	8.9	0
1772	84.484	74.949	33	9	0
1777	99.395	56.943	33	9	0
1807	23.754	7.579	36	9	0
1819	79.841	15.482	42	9	0
1910	81.925	36.989	47	9	0
2854	38.247	57.963	28	9	0
2971	53.74	13.81	28	9	0
2972	15.251	13.787	28	9	0
2992	30.035	6.545	28	9	0
1761	77.892	57.831	32	9.1	0
1877	97.454	63.157	47	9.1	0
2756	43.209	34.901	61	9.1	0
2897	3.898	32.668	28	9.1	0
2931	48.065	26.264	28	9.1	0
2998	79.339	2.522	28	9.1	0
3052	34.928	8.074	75	9.1	0
1746	71.154	13.126	29	9.2	0
1783	21.921	44.646	33	9.2	0
1786	77.418	28.069	33	9.2	0
1969	73.101	21.967	49	9.2	0
2042	99.29	3.856	56	9.2	0
2769	47.211	21.293	61	9.2	0
3044	55.72	43.25	75	9.2	0
2750	71.338	40.426	61	9.3	0
3070	20.598	48.606	80	9.3	0
1683	13.643	63.962	8	9.4	0
1778	10.125	51.561	33	9.4	0
1781	28.962	46.018	33	9.4	0
1860	7.45	72.611	47	9.4	0
1868	45.69	69.287	47	9.4	0
1893	78.319	47.524	47	9.4	0
1980	48.921	56.819	56	9.4	0
2056	47.47	31.413	58	9.4	0
2771	55.679	21.138	61	9.4	0
2774	35.318	20.332	61	9.4	0
2778	84.238	18.586	61	9.4	0
2839	57.515	63.346	28	9.4	0
2914	52.933	28.58	28	9.4	0
